(119.8635790178589, 788.6460634613053)
(156.9238657678633, 287.4499906206812)
(160.34033338741966, 577.9314981679894)
(167.59852924936456, 347.50310363284177)
(169.99934053603863, 527.648477105983)
(180.63644946064557, 316.1265674798044)
(184.71139972299545, 292.0047424867522)
(189.35996203888146, 441.93465235219065)
(189.9563952802406, 304.9096710284639)
(194.64039571291184, 647.5660624865457)
(194.6673287204286, 316.5005787321716)
(200.30664043638959, 778.1894204582636)
(205.2612692234892, 345.9063479423689)
(205.48178991585053, 484.55003552938007)
(206.59582307128395, 345.8497679789309)
(207.93106950164855, 349.1350443116494)
(212.80007422137942, 316.9839305398595)
(216.68172966908512, 470.9461283145954)
(225.7137941854818, 542.9789770257673)
(225.73643128193945, 459.9479155283832)
(226.42960274705632, 317.3472432687827)
(228.79546538443913, 317.4103084004507)
(229.118179812287, 455.840304751522)
(232.05236537795545, 501.2328286566884)
(234.32343282234294, 502.6587574404634)
(234.79241950512326, 448.94813997237674)
(234.90734418276787, 317.5732284428341)
(235.29861735724307, 322.73489166689)
(235.6702753586396, 496.35129331789165)
(236.10338106440753, 418.4509595692014)
(236.58277021283544, 492.07794405859573)
(236.8782990572786, 323.69449878840044)
(236.96200053919503, 490.3019519784218)
(237.02425131421464, 324.1477883252666)
(237.84448890348324, 493.41769344672025)
(239.2127216289309, 330.9446047378952)
(240.5803667612769, 489.72625708795107)
(241.75026326884546, 467.8778047133958)
(242.4183037388435, 712.221838712287)
(242.5783367985835, 463.9998130856323)
(243.11072087963672, 461.506579169881)
(243.50806903616382, 344.28483035535254)
(243.9684959356698, 437.8025003432996)
(252.739904264007, 473.3197648479819)
(254.35590679139727, 471.13934203836055)
(256.3979004370113, 468.38414243530724)
(256.458762144067, 340.0601753629399)
(257.654129611064, 421.17936711244226)
(258.55138224153546, 473.68262715277706)
(259.8310871255366, 476.83124756670713)
(260.72692439399566, 343.55481694435434)
(262.56845637347686, 415.2102238159624)
(262.896373702583, 343.462840616263)
(263.44330514750146, 740.674063650354)
(263.5844893541795, 486.0662196501493)
(264.23253486686605, 521.4377019440916)
(264.8256287066946, 522.0674755337994)
(265.04703392848234, 521.9490991987996)
(265.0583011069057, 607.3923592494799)
(265.2832214507032, 411.91275855862847)
(267.40040083374265, 168.3718877556135)
(268.6561035404284, 422.5722592708946)
(268.71793730362185, 422.5800876628207)
(268.74413730208926, 794.9259520447586)
(268.75324088382223, 422.6897313494253)
(268.9948372978566, 343.2042891551748)
